D4_100_1,ARACNE,BC3NET,C3NET,CLR,CMI2NI,GENIE3_ET,GENIE3_RF,GRNBOOST2,GRNVBEM,INFERELATOR,KBOOST,LEAP,LOCPCACMI,MEOMI,MRNETB,MRNET,NARROMI,NONLINEARODES,PCACMI,PCIT,PIDC,PLSNET,PUC,RSNET,TIGRESS,BEST_GENECI,MEDIAN_GENECI
D3_50_Ecoli1,0.0240767472753839,0.0279430434599731,0.0264576130223971,0.0333862989781623,0.0352990768407275,0.027770182071578,0.0340748925680468,0.0266555725650348,0.0465055298820321,0.0280045917127398,0.0277155455024867,0.0412862229653595,0.0339406543742713,0.0222845781719612,0.0363265898896185,0.0329234114974411,0.0262107018631607,0.0237931289142819,0.0221310656274078,0.0402837446133537,0.0240936520385534,0.0213054858743705,0.0231466661156689,0.0319719447457721,0.0289453867883716,0.0373436660472829,0.0308123066390932
D3_50_Ecoli2,0.0424450602774929,0.0372264584699791,0.0391261607824842,0.0605527937506943,0.0650294070674999,0.0740919859766428,0.0778153743555947,0.0785548935371951,0.0646070789519929,0.0606349964501558,0.0378620596334114,0.0556322219859795,0.0534430399598624,0.0308777819888667,0.0570357290550464,0.0557080283090687,0.046925284611326,0.0431198712176747,0.0283726555131548,0.0676868015523887,0.0480663711869999,0.0327143144317499,0.0665980409609214,0.0497669257371798,0.0243431891318079,0.0858834691416766,0.0671561714078194
D3_50_Yeast1,0.0504588763002604,0.0427796409751729,0.0507823582862617,0.0504245210623854,0.0506745637647447,0.0501242536627612,0.0828454277847996,0.0751264122960435,0.095156727340786,0.0595599811902931,0.034748002552649,0.0525055877484679,0.0611552268905284,0.0397787364649879,0.0557354156108702,0.0506557175339263,0.0484427032633333,0.0322939649483676,0.0260596997225586,0.0587683098438995,0.0757965691161636,0.0448505712231662,0.0611839281222209,0.0713025803044744,0.033005790729024,0.0794259865166023,0.0603316282781921
D3_50_Yeast2,0.0761321011784054,0.0711304282295709,0.0764395341455055,0.0813896848836087,0.0677911567191034,0.0880349909840796,0.0883459911988158,0.091949233857414,0.0789720284663924,0.0867383404439967,0.066820812393695,0.0669400556851298,0.0720088798566628,0.0686536820447159,0.0755212697960901,0.0785748010844658,0.0779561373936189,0.063506404437671,0.062420392107645,0.0644214728847518,0.0893803791410973,0.0742481125874643,0.0899183392123211,0.0855447285229914,0.0831058352672447,0.0909184329499602,0.0820648119482755
D3_50_Yeast3,0.0886803191920921,0.0861212491210424,0.086821284271795,0.1013540624409403,0.0831822841155832,0.0961763902003571,0.1006277824635558,0.1099737876493457,0.0869087798570134,0.0891104690446491,0.0737527538085249,0.0863397808880286,0.0867731187797584,0.0706386017087289,0.0991916010366719,0.0982582584817251,0.0785704945622275,0.0749347253505746,0.0745941150612939,0.0842584782139736,0.1022003507207239,0.0761802205989024,0.0876135902339659,0.0862338472755805,0.0993473834048856,0.1050843234428767,0.0938672142580678
sim_BioGrid_Chlorocebus_sabaeus_mixed_exp,0.327811455389172,0.409176775966025,0.269933947058358,0.357674355022639,0.391375402917838,0.235961623936573,0.177884917051892,0.0758598448386317,0.0197622726714032,0.36972243852695,0.299608639076401,0.0584002804666698,0.389053912510866,0.0181647156021695,0.324881269890381,0.328629549426576,0.118580836929934,0.02522156042919,0.392088020740347,0.016364699006429,0.0714049852730816,0.168897280531499,0.0699596228281268,0.379154182367527,0.416814442843668,0.422656992930838,0.184140144507439
sim_BioGrid_Cricetulus_griseus_mixed_exp,0.125615942182214,0.13922648356298,0.120312719832708,0.237266777390728,0.0817549168633551,0.157364097212051,0.201306296367538,0.134179966317891,0.0097905913309291,0.108062999765747,0.0272154562271648,0.0393676708325166,0.114152095445149,0.0114845757852609,0.186181042210866,0.17798932394254,0.132376896446206,0.0153448715653503,0.113838820428845,0.0089910089910089,0.0989275140370783,0.0653925100019767,0.102688880699514,0.127455781648969,0.137312606994197,0.145641249139844,0.132033309280612
sim_BioGrid_Emericella_nidulans_FGSC_A4_mixed_exp,0.102519088490733,0.218626990703329,0.0997678526184523,0.156196677976592,0.262699712433318,0.165561674203223,0.161667051129285,0.0799507516702281,0.0096724012605534,0.133855176871187,0.0418893533690746,0.130617647813703,0.230473132586864,0.0176970645643405,0.152386388478194,0.142735850500402,0.231542220520255,0.015638067503346,0.23183441024972,0.0125,0.0426860017079656,0.0793352771137046,0.045308575248485,0.25045690016197,0.256687924727286,0.263578088960864,0.217333766887281
sim_BioGrid_Glycine_max_mixed_exp,0.0936123246249707,0.114880369246522,0.0590347466201645,0.0848272593528088,0.116523295422869,0.0436462869537789,0.045593387700662,0.0401634835347974,0.0353996869331311,0.102732716906716,0.0587911750886496,0.0526713876586471,0.121853789076175,0.0353343116082653,0.0957179538426901,0.0839211925350603,0.196083893201936,0.0097941663471231,0.108184648982859,0.0106280193236715,0.0235995704673508,0.0795134301904395,0.044101591734648,0.193144492048059,0.132804063369934,0.140240406179752,0.116332623634207
sim_BioGrid_Human_Immunodeficiency_Virus_2_mixed_exp,0.0238255118622683,0.0799645705775635,0.0278710309982405,0.0902397007953161,0.0264362740484559,0.105747433018306,0.0824450555509444,0.0201323958010295,0.0026942527553534,0.0531935957585159,0.0233580877875247,0.0070648943531026,0.0259029232194446,0.0030191138957432,0.0219507227079329,0.0242328041764611,0.147620384464064,0.0131994604352718,0.030040318154456,0.0034722222222222,0.108203503578328,0.172182321072308,0.241074783050246,0.0218832003392818,0.116546974894754,0.30275004596177,0.0441600098835088
sim_BioGrid_Neurospora_crassa_OR74A_mixed_exp,0.196168865129924,0.151189071542502,0.145279318121042,0.212829311504995,0.134006013553499,0.0349324463530179,0.116809896362506,0.0251271153420572,0.0195472190194396,0.0979270025907209,0.0485942107472119,0.0705519753984363,0.130681433370816,0.0230123456009955,0.16242194019739,0.170458602169949,0.319779418770076,0.0200560213188837,0.117961005495306,0.0158730158730159,0.0330871295859444,0.10844718070491,0.0421069179303809,0.226489463831281,0.24635973052663,0.158477963131673,0.150436311278549
sim_eipo-modular_size-100_knockdown_exp,0.108943159553419,0.166298270483257,0.0873025561233666,0.221603665969598,0.217994727525359,0.243862201135517,0.242232120817399,0.218698171158909,0.0358955022204477,0.179968899851222,0.153319801695448,0.19390086965004,0.232028560627523,0.0820794049911814,0.203500245071992,0.200712843221184,0.142490630920579,0.0626887430311676,0.221034791254426,0.0348514851485149,0.160506290932725,0.142057606734938,0.178644604939702,0.174090809767784,0.229468011637426,0.241106645428414,0.230422500101254
sim_eipo-modular_size-100_knockout_exp,0.129751687792747,0.154615882897018,0.119888949880954,0.225918782892004,0.193941054498978,0.209413159335298,0.229910636786505,0.228583726254305,0.037632669624397,0.147073941257772,0.124388157177901,0.148772240598859,0.193332226050199,0.0875021571270881,0.249156836051488,0.236137008130318,0.0894335088935021,0.0533974690505352,0.178461717434809,0.0348514851485149,0.143813864869384,0.154106865727675,0.166550219100261,0.170131721369821,0.218792630250902,0.251419268625534,0.248710354697301
sim_eipo-modular_size-100_overexpression_exp,0.126679329781344,0.173010008356541,0.108685906275371,0.217937762026397,0.201324218833888,0.226225408766623,0.214647542856857,0.2118175163866,0.036488531730968,0.159014822716318,0.129861801265512,0.147458957794841,0.2001705511195,0.0783656914453872,0.206817624064807,0.203173848362336,0.122629744948367,0.0734075531124352,0.189092726308077,0.0348514851485149,0.146850692234175,0.126537061073132,0.182001755390086,0.209330987174192,0.239096781054578,0.243226257760582,0.233233851508771
sim_eipo-modular_size-50_knockdown_exp,0.162274739265673,0.207866398914521,0.170235189672746,0.229473861918832,0.195754691845135,0.241348743358293,0.228098574173029,0.18840447209645,0.0982608813320558,0.215491408995783,0.158385896485146,0.186188319345373,0.229793223824483,0.103754367918177,0.212391761377729,0.215195054850969,0.10716846238153,0.118409342768461,0.206619054680763,0.08,0.160536427237182,0.144588403324469,0.185945694006342,0.140514582875683,0.249717078557857,0.230801319461961,0.221668550013419
sim_eipo-modular_size-50_knockout_exp,0.20862455723005,0.214468352246981,0.206662839867663,0.215048372424617,0.257510803973908,0.2586219347895,0.290642039888161,0.216848361694574,0.0831841545310198,0.243042301935068,0.234477244445383,0.160649983737309,0.282564101607588,0.100947512475673,0.242734626916929,0.260466859456516,0.151200479394914,0.116068133325461,0.265401092218371,0.08,0.132778701152184,0.154394634470027,0.157557559180855,0.179190855169054,0.272777507286139,0.288735984945794,0.273863655608933
sim_eipo-modular_size-50_overexpression_exp,0.149599789172784,0.244423638642963,0.123201893583934,0.238527538354924,0.258729288017577,0.254075727976647,0.230146700804634,0.176039547776108,0.0935580519861416,0.211677078086513,0.21986921004932,0.145357973383959,0.261413344737831,0.083769296072723,0.214603421485792,0.206522482243786,0.144265459210205,0.143319054967762,0.255505338521285,0.08,0.19533007520497,0.180700028368915,0.267511071678744,0.211311699185646,0.339683902374089,0.273114541314292,0.249937246073874
sim_scale-free_size-100_knockdown_exp,0.0514574546562379,0.0644157419326136,0.0467722402434601,0.0843309387026048,0.0652555082666646,0.0725060948083589,0.0791301685689901,0.0709648825235498,0.0353401881590128,0.062506417987019,0.0546672984949939,0.0669530674302406,0.0659833251783778,0.0383048228826671,0.079893772545583,0.0736404207955961,0.0624518813092177,0.0471531806950143,0.0688782008199047,0.0354455445544554,0.0718771447394857,0.0506273905140235,0.06699158875228,0.0958689178244618,0.0969438759104436,0.0770392483600659,0.0732793251474566
sim_scale-free_size-100_knockout_exp,0.0488196330538208,0.0662675006409938,0.0455844962025553,0.0875161558468308,0.0591448026336256,0.0775001503177917,0.0831137868630396,0.0714168376387559,0.0338301649427281,0.0737933276088018,0.0548944160292608,0.0511983270906578,0.0600545082214782,0.0371236903741824,0.0738722201319652,0.0791519041365879,0.0539690140114475,0.0448080703492675,0.0608289174702995,0.0354455445544554,0.0682509297058068,0.0559525151747319,0.0568452991773375,0.089309303813564,0.128085920848818,0.0793167432171546,0.0611313804307463
sim_scale-free_size-100_overexpression_exp,0.0487462666467651,0.0644428243128703,0.0436873020495723,0.0877275010594259,0.0637571042876388,0.0667096511999647,0.0697631045722819,0.0663642406748346,0.0311821379950466,0.0631743306893597,0.0576487611824139,0.0570690214613371,0.0663386948107118,0.0386746814403387,0.0772902295323185,0.0730690903219037,0.0509438927447109,0.0542358759599682,0.0679187648550677,0.0354455445544554,0.0831291687460357,0.0476853903965155,0.0741507925036689,0.0876791656857124,0.113293945645038,0.0839251974942231,0.0740004415411853
sim_scale-free_size-50_knockdown_exp,0.181867793660087,0.205299113465701,0.176885086403779,0.238332312871277,0.190677425755482,0.219711411737726,0.245553869516038,0.197399473646325,0.14408955913159,0.188057672136877,0.184365275827583,0.177661592500435,0.192318124961509,0.189886271816746,0.229796325874052,0.209246450645458,0.144386795144254,0.145235558612882,0.200922929444879,0.132549019607843,0.1720222999812,0.194374940887974,0.182302345705135,0.176660460911542,0.245664921887944,0.207852744899427,0.201901390721727
sim_scale-free_size-50_knockout_exp,0.181688064136705,0.183013639689884,0.182220679885331,0.237905127106425,0.156258062312777,0.194238963849408,0.232104960814148,0.201212246289253,0.125845511012732,0.18009813917847,0.146013655018561,0.181658282964015,0.163491565568437,0.13045155143821,0.217807798277819,0.216014727004058,0.168504781821358,0.142491914298488,0.164949529188,0.132549019607843,0.185138931525967,0.185678259074673,0.182238001720084,0.173459351168935,0.231493476738573,0.184406508193932,0.171013741621096
sim_scale-free_size-50_overexpression_exp,0.170468478883932,0.210442902265969,0.172911956441992,0.234630446078443,0.183141748874496,0.221274626399341,0.228665955527437,0.177794331172107,0.181157062811248,0.212203069421518,0.195615646717908,0.184045135929642,0.207123698765758,0.149175588660052,0.215254325116882,0.202095711681158,0.164407600235877,0.144709737327572,0.190143634894419,0.132549019607843,0.186682407623643,0.190719908164319,0.190032397543102,0.200159637397214,0.24582265851772,0.226276765154055,0.225212536010432
sim_TFLink_Caenorhabditis_elegans_mixed_exp,0.0277968076493119,0.0289333832187034,0.0280779961024339,0.0291976166704456,0.0404407254890608,0.0222110251751734,0.0236308622045336,0.0208367280816482,0.009142347341001,0.0206064473819143,0.0219582315327385,0.0157445543153935,0.0401641614083314,0.0073714173678274,0.0244588388178732,0.0273486462403771,0.00764662575175,0.0125908465095752,0.0414436822335955,0.007719298245614,0.0112186490079843,0.0140863118163272,0.0111684263379973,0.0380576103894054,0.0512504503782618,0.0347940224755911,0.0297566072935831
